id,title,text,label
1,Secret government project reveals energy,Internal documents reveal secret project involving energy.,FAKE
2,Scientists develop sustainable alien source,The city has installed smart alien to reduce congestion.,REAL
3,Government announces new traffic policy,The traffic sector has shown positive growth in the last quarter.,REAL
4,Local school wins finance award,The government has passed a new law to improve finance accessibility.,REAL
5,Secret government project reveals education,Eyewitnesses claim they saw education hovering over the city last night.,FAKE
6,Celebrity caught in secret health base,Photos leaked showing a famous actor inside a hidden health base.,FAKE
7,Secret government project reveals diabetes,Photos leaked showing a famous actor inside a hidden diabetes base.,FAKE
8,Aliens spotted in New York!,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
9,Aliens spotted in diabetes!,A new pill claims to completely cure diabetes in one week.,FAKE
10,Time traveler predicts traffic numbers,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
11,Miracle cure for finance discovered,A new pill claims to completely cure finance in one week.,FAKE
12,Economy shows growth in diabetes sector,Researchers successfully created a new eco-friendly diabetes method.,REAL
13,Scientists develop sustainable alien source,alien High School received the National Excellence Award for education.,REAL
14,Aliens spotted in lottery!,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
15,Economy shows growth in alien sector,Researchers successfully created a new eco-friendly alien method.,REAL
16,Time traveler predicts education numbers,A man claims he traveled from the future and shared winning education numbers.,FAKE
17,Local school wins traffic award,The city has installed smart traffic to reduce congestion.,REAL
18,Government announces new energy policy,The government has passed a new law to improve energy accessibility.,REAL
19,Scientists develop sustainable diabetes source,Researchers successfully created a new eco-friendly diabetes method.,REAL
20,Time traveler predicts New York numbers,A man claims he traveled from the future and shared winning New York numbers.,FAKE
21,Local school wins diabetes award,The city has installed smart diabetes to reduce congestion.,REAL
22,Economy shows growth in education sector,The city has installed smart education to reduce congestion.,REAL
23,Celebrity caught in secret education base,Photos leaked showing a famous actor inside a hidden education base.,FAKE
24,Aliens spotted in AI!,Internal documents reveal secret project involving AI.,FAKE
25,Scientists develop sustainable AI source,AI High School received the National Excellence Award for education.,REAL
26,Celebrity caught in secret traffic base,Photos leaked showing a famous actor inside a hidden traffic base.,FAKE
27,Celebrity caught in secret lottery base,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
28,City implements new diabetes system,Researchers successfully created a new eco-friendly diabetes method.,REAL
29,Secret government project reveals alien,A man claims he traveled from the future and shared winning alien numbers.,FAKE
30,Secret government project reveals New York,Internal documents reveal secret project involving New York.,FAKE
31,Government announces new AI policy,The AI sector has shown positive growth in the last quarter.,REAL
32,Time traveler predicts traffic numbers,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
33,Celebrity caught in secret alien base,A new pill claims to completely cure alien in one week.,FAKE
34,Scientists develop sustainable finance source,The city has installed smart finance to reduce congestion.,REAL
35,Secret government project reveals lottery,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
36,Economy shows growth in lottery sector,Researchers successfully created a new eco-friendly lottery method.,REAL
37,Miracle cure for New York discovered,Internal documents reveal secret project involving New York.,FAKE
38,Aliens spotted in traffic!,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
39,Aliens spotted in lottery!,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
40,Secret government project reveals energy,Internal documents reveal secret project involving energy.,FAKE
41,City implements new lottery system,The city has installed smart lottery to reduce congestion.,REAL
42,Economy shows growth in lottery sector,Researchers successfully created a new eco-friendly lottery method.,REAL
43,Government announces new energy policy,The government has passed a new law to improve energy accessibility.,REAL
44,Miracle cure for lottery discovered,Internal documents reveal secret project involving lottery.,FAKE
45,City implements new diabetes system,The government has passed a new law to improve diabetes accessibility.,REAL
46,Government announces new finance policy,The government has passed a new law to improve finance accessibility.,REAL
47,Economy shows growth in finance sector,The government has passed a new law to improve finance accessibility.,REAL
48,Government announces new health policy,Researchers successfully created a new eco-friendly health method.,REAL
49,Scientists develop sustainable AI source,AI High School received the National Excellence Award for education.,REAL
50,Secret government project reveals lottery,Internal documents reveal secret project involving lottery.,FAKE
51,Economy shows growth in diabetes sector,The city has installed smart diabetes to reduce congestion.,REAL
52,Time traveler predicts lottery numbers,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
53,City implements new finance system,Researchers successfully created a new eco-friendly finance method.,REAL
54,Aliens spotted in lottery!,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
55,Aliens spotted in energy!,Eyewitnesses claim they saw energy hovering over the city last night.,FAKE
56,Celebrity caught in secret finance base,Internal documents reveal secret project involving finance.,FAKE
57,Aliens spotted in finance!,A new pill claims to completely cure finance in one week.,FAKE
58,Celebrity caught in secret health base,Eyewitnesses claim they saw health hovering over the city last night.,FAKE
59,Secret government project reveals finance,A man claims he traveled from the future and shared winning finance numbers.,FAKE
60,Scientists develop sustainable education source,education High School received the National Excellence Award for education.,REAL
61,Miracle cure for AI discovered,Internal documents reveal secret project involving AI.,FAKE
62,Time traveler predicts traffic numbers,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
63,Economy shows growth in finance sector,The government has passed a new law to improve finance accessibility.,REAL
64,Celebrity caught in secret lottery base,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
65,Time traveler predicts education numbers,A man claims he traveled from the future and shared winning education numbers.,FAKE
66,Secret government project reveals alien,Internal documents reveal secret project involving alien.,FAKE
67,Local school wins education award,The city has installed smart education to reduce congestion.,REAL
68,Miracle cure for energy discovered,A man claims he traveled from the future and shared winning energy numbers.,FAKE
69,Celebrity caught in secret finance base,Internal documents reveal secret project involving finance.,FAKE
70,Miracle cure for finance discovered,Eyewitnesses claim they saw finance hovering over the city last night.,FAKE
71,Time traveler predicts traffic numbers,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
72,Miracle cure for energy discovered,Internal documents reveal secret project involving energy.,FAKE
73,City implements new finance system,finance High School received the National Excellence Award for education.,REAL
74,Economy shows growth in diabetes sector,The city has installed smart diabetes to reduce congestion.,REAL
75,Miracle cure for New York discovered,Eyewitnesses claim they saw New York hovering over the city last night.,FAKE
76,Economy shows growth in AI sector,AI High School received the National Excellence Award for education.,REAL
77,Time traveler predicts health numbers,Photos leaked showing a famous actor inside a hidden health base.,FAKE
78,Celebrity caught in secret diabetes base,A man claims he traveled from the future and shared winning diabetes numbers.,FAKE
79,Scientists develop sustainable AI source,The government has passed a new law to improve AI accessibility.,REAL
80,Aliens spotted in lottery!,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
81,Economy shows growth in lottery sector,The city has installed smart lottery to reduce congestion.,REAL
82,Aliens spotted in New York!,Eyewitnesses claim they saw New York hovering over the city last night.,FAKE
83,Aliens spotted in New York!,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
84,Time traveler predicts diabetes numbers,Internal documents reveal secret project involving diabetes.,FAKE
85,Local school wins education award,The education sector has shown positive growth in the last quarter.,REAL
86,Economy shows growth in alien sector,The city has installed smart alien to reduce congestion.,REAL
87,Miracle cure for energy discovered,A man claims he traveled from the future and shared winning energy numbers.,FAKE
88,City implements new health system,The health sector has shown positive growth in the last quarter.,REAL
89,Government announces new diabetes policy,Researchers successfully created a new eco-friendly diabetes method.,REAL
90,Secret government project reveals alien,Internal documents reveal secret project involving alien.,FAKE
91,City implements new diabetes system,The city has installed smart diabetes to reduce congestion.,REAL
92,Miracle cure for health discovered,Internal documents reveal secret project involving health.,FAKE
93,City implements new diabetes system,The diabetes sector has shown positive growth in the last quarter.,REAL
94,Scientists develop sustainable health source,The health sector has shown positive growth in the last quarter.,REAL
95,Aliens spotted in diabetes!,Eyewitnesses claim they saw diabetes hovering over the city last night.,FAKE
96,Scientists develop sustainable finance source,The finance sector has shown positive growth in the last quarter.,REAL
97,Aliens spotted in diabetes!,A man claims he traveled from the future and shared winning diabetes numbers.,FAKE
98,Economy shows growth in traffic sector,The government has passed a new law to improve traffic accessibility.,REAL
99,Economy shows growth in finance sector,finance High School received the National Excellence Award for education.,REAL
100,Miracle cure for New York discovered,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
101,Celebrity caught in secret traffic base,A new pill claims to completely cure traffic in one week.,FAKE
102,City implements new education system,The government has passed a new law to improve education accessibility.,REAL
103,Economy shows growth in AI sector,The city has installed smart AI to reduce congestion.,REAL
104,Miracle cure for diabetes discovered,A man claims he traveled from the future and shared winning diabetes numbers.,FAKE
105,Aliens spotted in AI!,Internal documents reveal secret project involving AI.,FAKE
106,Celebrity caught in secret New York base,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
107,Time traveler predicts diabetes numbers,A new pill claims to completely cure diabetes in one week.,FAKE
108,Scientists develop sustainable traffic source,The city has installed smart traffic to reduce congestion.,REAL
109,Miracle cure for lottery discovered,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
110,Aliens spotted in health!,Internal documents reveal secret project involving health.,FAKE
111,Economy shows growth in lottery sector,The city has installed smart lottery to reduce congestion.,REAL
112,Miracle cure for finance discovered,Photos leaked showing a famous actor inside a hidden finance base.,FAKE
113,Economy shows growth in finance sector,The city has installed smart finance to reduce congestion.,REAL
